id_edificio,identificador,nombre,total
37,37,AI,1.229.800
36,36,AH,1.201.200
32,32,AD,1.201.200
26,26,X,1.201.200
8,8,G,1.201.200
34,34,AF,842.000
15,15,M,842.000
3,3,C,842.000
23,23,T,842.000
4,4,CH,842.000
24,24,U,842.000
18,18,O,842.000
12,12,K,842.000
6,6,E,842.000
19,19,P,842.000
1,1,A,842.000
33,33,AE,842.000
14,14,LL,842.000
2,2,B,819.000
28,28,Z,819.000
22,22,S,819.000
35,35,AG,819.000
16,16,N,819.000
29,29,AA,819.000
10,10,I,819.000
17,17,Ñ,819.000
30,30,AB,819.000
11,11,J,819.000
5,5,D,819.000
25,25,V,819.000
13,13,L,819.000
9,9,H,454.200
31,31,AC,454.200
21,21,R,416.400
7,7,F,416.400
20,20,Q,416.400
27,27,Y,416.400
,,,30.201.600
